Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH
E0,06/10/12,Man City,Sunderland,3,0,H,1,0,H,L Probert,26,8,16,6,10,10,15,4,0,3,0,0,1.29,5.5,11,1.25,5.25,12.5,1.25,5.25,12.5,1.28,5,10,1.29,5,11,1.29,5.99,12.98,1.3
E0,06/10/12,Swansea,Reading,2,2,D,0,2,A,M Dean,25,8,16,6,8,11,11,3,1,3,0,0,1.91,3.6,4,1.9,3.5,3.9,1.9,3.5,3.9,1.8,3.45,4.25,2,3.3,3.75,1.98,3.67,4.12,2.05
E0,06/10/12,West Brom,QPR,3,2,H,2,1,H,M Jones,13,13,8,6,16,12,2,5,2,2,0,0,1.83,3.75,4.2,1.87,3.5,4,1.87,3.5,4,1.85,3.4,4.1,1.83,3.6,4.2,1.85,3.81,4.55,1.91
E0,06/10/12,West Ham,Arsenal,1,3,A,1,1,D,P Dowd,7,20,3,14,12,7,4,16,3,2,0,0,4,3.6,1.91,3.9,3.7,1.95,3.9,3.7,1.95,4,3.45,1.85,4.2,3.5,1.83,3.98,3.68,2.01,4
E0,06/10/12,Wigan,Everton,2,2,D,2,1,H,K Friend,10,16,6,11,14,14,7,6,2,5,0,0,4.2,3.4,1.91,3.75,3.3,2,3.75,3.3,2,3.5,3.3,2.05,3.75,3.4,2,4.21,3.63,1.97,4
E0,07/10/12,Liverpool,Stoke,0,0,D,0,0,D,L Mason,16,5,5,3,9,16,5,5,0,6,0,0,1.44,4.33,7.5,1.53,4.1,7,1.53,4.1,7,1.5,3.9,6.3,1.5,4,7,1.48,4.47,8.16,1.53
E0,07/10/12,Newcastle,Man United,0,3,A,0,2,A,H Webb,13,12,3,9,15,12,8,6,4,4,0,0,4.2,3.75,1.83,3.9,3.5,1.9,3.9,3.5,1.9,3.85,3.4,1.9,4,3.4,1.91,4.1,3.89,1.93,4.33
E0,07/10/12,Southampton,Fulham,2,2,D,1,0,H,M Clattenburg,13,14,6,5,13,5,8,8,4,0,0,0,2.75,3.3,2.6,2.75,3.3,2.7,2.75,3.3,2.7,2.65,3.3,2.5,2.62,3.4,2.6,2.74,3.44,2.74,2.7
E0,07/10/12,Tottenham,Aston Villa,2,0,H,0,0,D,N Swarbrick,23,8,10,5,7,10,8,0,1,3,0,0,1.44,4.33,7.5,1.48,4.33,6,1.48,4.33,6,1.43,4.1,7.3,1.44,4,8,1.46,4.77,8.07,1.5
E0,20/10/12,Fulham,Aston Villa,1,0,H,0,0,D,C Foy,17,9,8,4,7,11,6,4,1,2,0,0,1.8,3.6,4.5,1.75,3.6,4.5,1.75,3.6,4.5,1.85,3.45,4,1.8,3.5,4.5,1.86,3.84,4.49,1.85
